
"Repository,Repository ID,Tool,Alert Number,Severity,Created At,Updated At,Resolved At,Reopened At,Resolved Reason,Secret Bypassed,Secret Type,Secret Provider,Secret Validity,GHSA ID,Ecosystem,Package,Dependency Scope,CodeQL Rule,Third Party Tool Rule,Teams (truncated at 20 values),Repository Visibility,Repository Topics,Repository Archived,Custom Property: Language,Custom Property: MicroservicesLanguage,Custom Property: Type"
"bdsoflow/nb-smarter-android",844950781,"CodeQL",13,"medium","2024-12-11T13:46:43Z","2025-01-29T10:30:47Z","2025-01-29T10:30:47Z",,"false positive",,,,,,,,,"java/error-message-exposure",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",12,"medium","2024-12-11T13:46:43Z","2025-01-29T10:31:06Z","2025-01-29T10:31:06Z",,"false positive",,,,,,,,,"java/error-message-exposure",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",11,"high","2024-12-11T13:46:43Z","2024-12-20T11:24:45Z",,,,,,,,,,,,"java/android/unsafe-content-uri-resolution",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",10,"high","2024-12-11T13:46:43Z","2024-12-20T11:24:45Z",,,,,,,,,,,,"java/android/unsafe-content-uri-resolution",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",9,"high","2024-12-11T13:46:43Z","2025-01-29T10:21:06Z","2025-01-29T10:21:06Z",,"won't fix",,,,,,,,,"java/rsa-without-oaep",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",8,"high","2024-12-11T13:46:43Z","2025-01-29T10:21:24Z","2025-01-29T10:21:24Z",,"won't fix",,,,,,,,,"java/rsa-without-oaep",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",7,"high","2024-12-11T13:46:43Z","2025-01-10T18:35:24Z","2025-01-10T18:35:24Z",,"used in tests",,,,,,,,,"java/insecure-trustmanager",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",6,"high","2024-12-11T13:46:43Z","2024-12-20T11:24:45Z",,,,,,,,,,,,"java/path-injection",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",5,"high","2024-12-11T13:46:43Z","2024-12-20T11:24:45Z",,,,,,,,,,,,"java/path-injection",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",4,"medium","2024-12-11T13:46:43Z","2025-01-29T10:31:36Z","2025-01-29T10:31:36Z",,"false positive",,,,,,,,,"java/xss",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",3,"medium","2024-12-11T13:46:43Z","2025-01-29T10:31:20Z","2025-01-29T10:31:20Z",,"false positive",,,,,,,,,"java/xss",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",2,"high","2024-12-11T13:46:43Z","2025-01-29T10:26:05Z","2025-01-29T10:26:05Z",,"won't fix",,,,,,,,,"java/weak-cryptographic-algorithm",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"CodeQL",1,"high","2024-12-11T13:46:43Z","2025-01-29T10:29:16Z","2025-01-29T10:29:16Z",,"won't fix",,,,,,,,,"java/weak-cryptographic-algorithm",,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android-libs",845138545,"CodeQL",7,"medium","2024-11-20T10:16:08Z","2024-12-17T21:33:51Z",,,,,,,,,,,,"java/xss",,,"internal","native app libraries (Android)",,,,
"bdsoflow/nb-smarter-android-libs",845138545,"CodeQL",5,"high","2024-11-20T10:16:08Z","2024-12-17T21:33:51Z",,,,,,,,,,,,"java/implicit-cast-in-compound-assignment",,,"internal","native app libraries (Android)",,,,
"bdsoflow/nb-smarter-android-libs",845138545,"CodeQL",4,"high","2024-11-20T10:16:08Z","2024-12-17T21:33:51Z",,,,,,,,,,,,"java/implicit-cast-in-compound-assignment",,,"internal","native app libraries (Android)",,,,
"bdsoflow/nb-smarter-android-libs",845138545,"CodeQL",3,"high","2024-11-20T10:16:08Z","2024-12-17T21:33:51Z",,,,,,,,,,,,"java/implicit-cast-in-compound-assignment",,,"internal","native app libraries (Android)",,,,
"bdsoflow/nb-smarter-android-libs",845138545,"CodeQL",2,"high","2024-11-20T10:16:08Z","2024-12-17T21:33:51Z",,,,,,,,,,,,"java/implicit-cast-in-compound-assignment",,,"internal","native app libraries (Android)",,,,
"bdsoflow/nb-smarter-android-libs",845138545,"CodeQL",1,"high","2024-11-20T10:16:08Z","2024-12-17T21:33:51Z",,,,,,,,,,,,"java/implicit-cast-in-compound-assignment",,,"internal","native app libraries (Android)",,,,
"bdsoflow/amr-net",757394314,"CodeQL",8,"high","2024-09-23T13:23:52Z","2024-09-23T13:23:53Z",,,,,,,,,,,,"cs/log-forging",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",7,"high","2024-09-23T13:23:52Z","2024-09-23T13:23:53Z",,,,,,,,,,,,"cs/log-forging",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",6,"high","2024-09-23T13:22:18Z","2024-12-02T13:52:21Z",,,,,,,,,,,,"js/regex/missing-regexp-anchor",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",5,"high","2024-09-23T13:22:18Z","2024-12-02T13:52:21Z",,,,,,,,,,,,"js/regex/missing-regexp-anchor",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",4,"high","2024-09-23T13:22:18Z","2024-12-02T13:52:21Z",,,,,,,,,,,,"js/regex/missing-regexp-anchor",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",3,"medium","2024-09-23T13:22:18Z","2024-09-23T13:22:19Z",,,,,,,,,,,,"js/unsafe-jquery-plugin",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",2,"medium","2024-09-23T13:22:18Z","2025-01-25T20:41:41Z",,,,,,,,,,,,"js/unsafe-jquery-plugin",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",1,"medium","2024-09-23T13:22:18Z","2025-01-25T20:41:41Z",,,,,,,,,,,,"js/unsafe-jquery-plugin",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/frontend-react-dsfs-desafios",892706196,"Dependabot",15,"medium","2025-02-18T20:56:29Z","2025-02-18T20:56:29Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-bslg-businesslogsv2",877825403,"Dependabot",17,"medium","2025-02-18T20:56:00Z","2025-02-18T20:56:00Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-framework",887963234,"Dependabot",24,"medium","2025-02-18T20:55:23Z","2025-02-18T20:55:23Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-businesslogs",885447160,"Dependabot",40,"medium","2025-02-18T20:55:18Z","2025-02-18T20:55:18Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-dsfs-desafios",892706196,"Dependabot",14,"medium","2025-02-18T20:42:54Z","2025-02-18T20:42:54Z",,,,,,,,"GHSA-h5c3-5r3r-rr8q","npm","@octokit/plugin-paginate-rest","development",,,,"internal",,,,,
